ResourceType,ResourceCardClassification,Durability,SatietyValue,Pricevalue
# 资源卡类型,# 资源卡分类（下拉列表选择）,# 资源卡耐久度,# 食物卡可恢复的总饱食度,# 资源卡的售卖价值值
#,# Food为食物卡、Equipment为装备卡,# 空白则匹配默认值1,# 仅当资源卡分类为Food时有效,# 请填写整数
#,# Resourcepoint为资源点、Others为其他,# 尽量不要留出空白全部填写,# 请填写整数,
探索点,ResourcePoint,999,,0
挖掘点,ResourcePoint,3,,0
坍塌的房间,ResourcePoint,3,,0
废弃矿坑,ResourcePoint,3,,0
遗弃的蘑菇农场,ResourcePoint,3,,0
铁矿脉,ResourcePoint,3,,3
稀有矿脉,ResourcePoint,3,,3
深坑,ResourcePoint,999,,2
精怪工坊,ResourcePoint,999,,2
营养土壤间,ResourcePoint,999,,2
酒馆,ResourcePoint,999,,3
拷打室,ResourcePoint,999,,3
部落安全屋,ResourcePoint,999,,3
黑魔法藏室,ResourcePoint,999,,3
宝箱陷阱,Others,1,,4
地面上的货币,Others,1,,1
宝箱,Others,1,,1
石料,Others,1,,1
烂木头,Others,1,,0
铁矿石,Others,1,,1
银矿石,Others,1,,1
金矿石,Others,1,,2
切割石砖,Others,1,,1
超大石料,Others,1,,2
木料,Others,1,,1
铁,Others,1,,2
白银,Others,1,,3
粗糙金块,Others,1,,4
劣质金币,Others,1,,2
金币,Others,1,,1
尸体,Others,2,1,0
蘑菇,Food,1,1,1
肉块,Food,3,1,1
真菌啤酒,Food,2,1,2
探索口粮,Food,3,1,2
